Record Length,2500,Points,0.0,59.999998659E-3,
Sample Interval,39.99999911E-3,s,39.99999911E-3,39.99999911E-3,
Trigger Point,0.0,Samples,79.999998212E-3,-19.9999996E-3,
,,,119.9999973E-3,-39.99999911E-3,
,,,159.99999642E-3,0.0,
,,,199.99998808E-3,59.999998659E-3,
Source,CH1,,239.99999464E-3,59.999998659E-3,
Vertical Units,Volts,,280.00000119E-3,39.99999911E-3,
Vertical Scale,499.999988824E-3,,319.99999285E-3,0.0,
Vertical Offset,0,,359.99998450E-3,-59.999998659E-3,
Horizontal Units,s,,399.99997616E-3,159.99999642E-3,
Horizontal Scale,9.999999776,,439.999997616E-3,19.9999996E-3,
Pt Fmt,Y,,479.999989271E-3,59.999998659E-3,
Yzero,-40.00000000E-3,,519.999980927E-3,39.99999911E-3,
Probe Atten,1.000000,,560.000002384E-3,-39.99999911E-3,
,,,599.999964237E-3,-39.99999911E-3,
Note,TBS 1052B-EDU - 5:36:15 PM   6/14/2023,,639.999985695E-3,19.9999996E-3,
,,,680.000007153E-3,59.999998659E-3,
,,,719.999969006E-3,-199.99998808E-3,
,,,759.999990463E-3,-19.9999996E-3,
,,,799.999952316E-3,-39.99999911E-3,
,,,839.999973774E-3,19.9999996E-3,
,,,879.999995232E-3,59.999998659E-3,
,,,919.999957085E-3,0.0,
,,,959.999978542E-3,0.0,
,,,1.000000,-59.999998659E-3,
,,,1.0400000,-19.9999996E-3,
,,,1.0799999,19.9999996E-3,
,,,1.1200000,59.999998659E-3,
,,,1.1600000,19.9999996E-3,
,,,1.1999999,-39.99999911E-3,
,,,1.2400000,-39.99999911E-3,
,,,1.2800000,0.0,
,,,1.3199999,19.9999996E-3,
,,,1.3600000,59.999998659E-3,
,,,1.4000000,59.999998659E-3,
,,,1.4399999,19.9999996E-3,
,,,1.4800000,-19.9999996E-3,
,,,1.5200000,-39.99999911E-3,
,,,1.5599999,99.999994040E-3,
,,,1.5999999,239.99999464E-3,
,,,1.6400000,19.9999996E-3,
,,,1.6799999,-39.99999911E-3,
,,,1.7199999,-19.9999996E-3,
,,,1.7600000,19.9999996E-3,
